Audiofile,start,end,class
S01_U04.CH4.wav,430.76,432.5599375,background
S01_U04.CH4.wav,432.4,432.6799375,foreground
S01_U04.CH4.wav,432.52,435.7199375,background
S01_U04.CH4.wav,435.56,435.7599375,foreground
S01_U04.CH4.wav,435.6,436.7599375,background
S01_U04.CH4.wav,436.6,436.8399375,foreground
S01_U04.CH4.wav,436.68,441.2399375,background
S01_U04.CH4.wav,441.08,441.3199375,foreground
S01_U04.CH4.wav,441.16,450.5599375,background
S01_U04.CH4.wav,450.4,450.6399375,foreground
S01_U04.CH4.wav,450.48,451.7199375,background
S01_U04.CH4.wav,451.56,451.8799375,foreground
S01_U04.CH4.wav,451.72,454.1199375,background
S01_U04.CH4.wav,453.96,454.3199375,foreground
S01_U04.CH4.wav,454.16,454.5999375,background
S01_U04.CH4.wav,454.44,454.9199375,foreground
S01_U04.CH4.wav,454.76,461.3999375,background
S01_U04.CH4.wav,461.24,461.5199375,foreground
S01_U04.CH4.wav,461.36,464.7599375,background
S01_U04.CH4.wav,464.6,465.0799375,foreground
S01_U04.CH4.wav,464.92,465.5999375,background
S01_U04.CH4.wav,465.44,465.7199375,foreground
S01_U04.CH4.wav,465.56,498.5199375,background
S01_U04.CH4.wav,498.36,498.5599375,foreground
S01_U04.CH4.wav,498.4,542.4799375,background
S01_U04.CH4.wav,542.32,542.5199375,foreground
S01_U04.CH4.wav,542.36,556.8399375,background
S01_U04.CH4.wav,556.68,556.9199375,foreground
S01_U04.CH4.wav,556.76,580.8399375,background
S01_U04.CH4.wav,580.68,580.8799375,foreground
S01_U04.CH4.wav,580.72,595.2399375,background
S01_U04.CH4.wav,595.08,595.2799375,foreground
S01_U04.CH4.wav,595.12,602.3999375,background
S01_U04.CH4.wav,602.24,602.5599375,foreground
S01_U04.CH4.wav,602.4,602.7199375,background
S01_U04.CH4.wav,602.56,602.7599375,foreground
S01_U04.CH4.wav,602.6,606.4399375,background
S01_U04.CH4.wav,606.28,606.5599375,foreground
S01_U04.CH4.wav,606.4,612.5199375,background
S01_U04.CH4.wav,612.36,612.5999375,foreground
S01_U04.CH4.wav,612.44,613.9999375,background
S01_U04.CH4.wav,613.84,614.1999375,foreground
S01_U04.CH4.wav,614.04,614.3999375,background
S01_U04.CH4.wav,614.24,614.4399375,foreground
S01_U04.CH4.wav,614.28,614.6799375,background
S01_U04.CH4.wav,614.52,614.7199375,foreground
S01_U04.CH4.wav,614.56,616.7199375,background
S01_U04.CH4.wav,616.56,616.8399375,foreground
S01_U04.CH4.wav,616.68,621.3999375,background
S01_U04.CH4.wav,621.24,621.7999375,foreground
S01_U04.CH4.wav,621.64,622.0399375,background
S01_U04.CH4.wav,621.88,622.2799375,foreground
S01_U04.CH4.wav,622.12,642.9999375,background
S01_U04.CH4.wav,642.84,643.1599375,foreground
S01_U04.CH4.wav,643,644.4799375,background
S01_U04.CH4.wav,644.32,644.5199375,foreground
S01_U04.CH4.wav,644.36,654.2399375,background
S01_U04.CH4.wav,654.08,654.2799375,foreground
S01_U04.CH4.wav,654.12,658.2399375,background
S01_U04.CH4.wav,658.08,658.3599375,foreground
S01_U04.CH4.wav,658.2,660.1599375,background
S01_U04.CH4.wav,660,660.2399375,foreground
S01_U04.CH4.wav,660.08,705.1199375,background
S01_U04.CH4.wav,704.96,705.2399375,foreground
S01_U04.CH4.wav,705.08,712.2399375,background
S01_U04.CH4.wav,712.08,712.3199375,foreground
S01_U04.CH4.wav,712.16,728.1599375,background
S01_U04.CH4.wav,728,728.2399375,foreground
S01_U04.CH4.wav,728.08,744.7199375,background
S01_U04.CH4.wav,744.56,744.9199375,foreground
S01_U04.CH4.wav,744.76,745.1199375,background
S01_U04.CH4.wav,744.96,745.1599375,foreground
S01_U04.CH4.wav,745,745.8399375,background
S01_U04.CH4.wav,745.68,745.9999375,foreground
S01_U04.CH4.wav,745.84,755.9199375,background
S01_U04.CH4.wav,755.76,755.9599375,foreground
S01_U04.CH4.wav,755.8,758.8799375,background
S01_U04.CH4.wav,758.72,759.2799375,foreground
S01_U04.CH4.wav,759.12,764.1599375,background
S01_U04.CH4.wav,764,764.1999375,foreground
S01_U04.CH4.wav,764.04,769.0399375,background
S01_U04.CH4.wav,768.88,769.1199375,foreground
S01_U04.CH4.wav,768.96,769.9199375,background
S01_U04.CH4.wav,769.76,769.9999375,foreground
S01_U04.CH4.wav,769.84,770.9999375,background
S01_U04.CH4.wav,770.84,771.0399375,foreground
S01_U04.CH4.wav,770.88,772.0799375,background
S01_U04.CH4.wav,771.92,772.1599375,foreground
S01_U04.CH4.wav,772,772.5199375,background
S01_U04.CH4.wav,772.36,773.2799375,foreground
S01_U04.CH4.wav,773.12,773.7199375,background
S01_U04.CH4.wav,773.56,773.8799375,foreground
S01_U04.CH4.wav,773.72,774.6399375,background
S01_U04.CH4.wav,774.48,774.7999375,foreground
S01_U04.CH4.wav,774.64,776.0799375,background
S01_U04.CH4.wav,775.92,776.2399375,foreground
S01_U04.CH4.wav,776.08,777.4799375,background
S01_U04.CH4.wav,777.32,777.5999375,foreground
S01_U04.CH4.wav,777.44,777.6799375,background
S01_U04.CH4.wav,777.52,777.7199375,foreground
S01_U04.CH4.wav,777.56,780.7199375,background
S01_U04.CH4.wav,780.56,780.7999375,foreground
S01_U04.CH4.wav,780.64,781.7199375,background
S01_U04.CH4.wav,781.56,781.9199375,foreground
S01_U04.CH4.wav,781.76,785.5599375,background
S01_U04.CH4.wav,785.4,785.6399375,foreground
S01_U04.CH4.wav,785.48,794.2399375,background
S01_U04.CH4.wav,794.08,794.3199375,foreground
S01_U04.CH4.wav,794.16,818.1999375,background
S01_U04.CH4.wav,818.04,818.3999375,foreground
S01_U04.CH4.wav,818.24,822.2399375,background
S01_U04.CH4.wav,822.08,822.3199375,foreground
S01_U04.CH4.wav,822.16,828.3199375,background
S01_U04.CH4.wav,828.16,828.3599375,foreground
S01_U04.CH4.wav,828.2,831.9199375,background
S01_U04.CH4.wav,831.76,832.0399375,foreground
S01_U04.CH4.wav,831.88,835.2799375,background
S01_U04.CH4.wav,835.12,835.3999375,foreground
S01_U04.CH4.wav,835.24,835.4799375,background
S01_U04.CH4.wav,835.32,835.7199375,foreground
S01_U04.CH4.wav,835.56,845.7599375,background
S01_U04.CH4.wav,845.6,846.1199375,foreground
S01_U04.CH4.wav,845.96,857.3999375,background
S01_U04.CH4.wav,857.24,857.4799375,foreground
S01_U04.CH4.wav,857.32,879.7999375,background
S01_U04.CH4.wav,879.64,879.9599375,foreground
S01_U04.CH4.wav,879.8,881.3999375,background
S01_U04.CH4.wav,881.24,881.4799375,foreground
S01_U04.CH4.wav,881.32,885.6799375,background
S01_U04.CH4.wav,885.52,885.8799375,foreground
S01_U04.CH4.wav,885.72,891.4799375,background
S01_U04.CH4.wav,891.32,891.5199375,foreground
S01_U04.CH4.wav,891.36,896.4799375,background
S01_U04.CH4.wav,896.32,896.7599375,foreground
S01_U04.CH4.wav,896.6,897.4799375,background
S01_U04.CH4.wav,897.32,897.5999375,foreground
S01_U04.CH4.wav,897.44,901.9999375,background
S01_U04.CH4.wav,901.84,902.0799375,foreground
S01_U04.CH4.wav,901.92,926.7199375,background
S01_U04.CH4.wav,926.56,926.7999375,foreground
S01_U04.CH4.wav,926.64,927.0399375,background
S01_U04.CH4.wav,926.88,927.1199375,foreground
S01_U04.CH4.wav,926.96,943.2399375,background
S01_U04.CH4.wav,943.08,943.3999375,foreground
S01_U04.CH4.wav,943.24,946.6399375,background
S01_U04.CH4.wav,946.48,946.6799375,foreground
S01_U04.CH4.wav,946.52,947.6399375,background
S01_U04.CH4.wav,947.48,947.6799375,foreground
S01_U04.CH4.wav,947.52,955.3999375,background
S01_U04.CH4.wav,955.24,955.4399375,foreground
S01_U04.CH4.wav,955.28,961.1599375,background
S01_U04.CH4.wav,961,961.2399375,foreground
S01_U04.CH4.wav,961.08,997.3599375,background
S01_U04.CH4.wav,997.2,997.3999375,foreground
S01_U04.CH4.wav,997.24,997.4399375,background
S01_U04.CH4.wav,997.28,997.4799375,foreground
S01_U04.CH4.wav,997.32,1011.9199375,background
S01_U04.CH4.wav,1011.76,1011.9599375,foreground
S01_U04.CH4.wav,1011.8,1012.9599375,background
S01_U04.CH4.wav,1012.8,1013.1199375,foreground
S01_U04.CH4.wav,1012.96,1016.2399375,background
S01_U04.CH4.wav,1016.08,1016.3599375,foreground
S01_U04.CH4.wav,1016.2,1031.8799375,background
S01_U04.CH4.wav,1031.72,1031.9199375,foreground
S01_U04.CH4.wav,1031.76,1032.1599375,background
S01_U04.CH4.wav,1032,1032.3599375,foreground
S01_U04.CH4.wav,1032.2,1033.9199375,background
S01_U04.CH4.wav,1033.76,1033.9999375,foreground
S01_U04.CH4.wav,1033.84,1034.9599375,background
S01_U04.CH4.wav,1034.8,1034.9999375,foreground
S01_U04.CH4.wav,1034.84,1035.1199375,background
S01_U04.CH4.wav,1034.96,1035.3199375,foreground
S01_U04.CH4.wav,1035.16,1035.5999375,background
S01_U04.CH4.wav,1035.44,1035.7599375,foreground
S01_U04.CH4.wav,1035.6,1075.2399375,background
S01_U04.CH4.wav,1075.08,1075.3199375,foreground
S01_U04.CH4.wav,1075.16,1081.8399375,background
S01_U04.CH4.wav,1081.68,1081.9199375,foreground
S01_U04.CH4.wav,1081.76,1082.1199375,background
S01_U04.CH4.wav,1081.96,1082.2399375,foreground
S01_U04.CH4.wav,1082.08,1084.0799375,background
S01_U04.CH4.wav,1083.92,1084.1999375,foreground
S01_U04.CH4.wav,1084.04,1101.9999375,background
S01_U04.CH4.wav,1101.84,1102.1999375,foreground
S01_U04.CH4.wav,1102.04,1107.6799375,background
S01_U04.CH4.wav,1107.52,1107.9599375,foreground
S01_U04.CH4.wav,1107.8,1112.8399375,background
S01_U04.CH4.wav,1112.68,1112.9199375,foreground
S01_U04.CH4.wav,1112.76,1119.7599375,background
S01_U04.CH4.wav,1119.6,1119.9599375,foreground
S01_U04.CH4.wav,1119.8,1127.6399375,background
S01_U04.CH4.wav,1127.48,1127.7599375,foreground
S01_U04.CH4.wav,1127.6,1128.3599375,background
S01_U04.CH4.wav,1128.2,1128.5199375,foreground
S01_U04.CH4.wav,1128.36,1130.0399375,background
S01_U04.CH4.wav,1129.88,1130.1999375,foreground
S01_U04.CH4.wav,1130.04,1145.5199375,background
S01_U04.CH4.wav,1145.36,1145.5599375,foreground
S01_U04.CH4.wav,1145.4,1154.6399375,background
S01_U04.CH4.wav,1154.48,1154.8399375,foreground
S01_U04.CH4.wav,1154.68,1156.3199375,background
S01_U04.CH4.wav,1156.16,1156.4399375,foreground
S01_U04.CH4.wav,1156.28,1166.3599375,background
S01_U04.CH4.wav,1166.2,1167.0399375,foreground
S01_U04.CH4.wav,1166.88,1167.3999375,background
S01_U04.CH4.wav,1167.24,1167.4799375,foreground
S01_U04.CH4.wav,1167.32,1172.0799375,background
S01_U04.CH4.wav,1171.92,1172.1599375,foreground
S01_U04.CH4.wav,1172,1173.2399375,background
S01_U04.CH4.wav,1173.08,1173.3199375,foreground
S01_U04.CH4.wav,1173.16,1174.0399375,background
S01_U04.CH4.wav,1173.88,1174.1199375,foreground
S01_U04.CH4.wav,1173.96,1180.3199375,background
S01_U04.CH4.wav,1180.16,1180.4799375,foreground
S01_U04.CH4.wav,1180.32,1200.6799375,background
S01_U04.CH4.wav,1200.52,1200.7599375,foreground
S01_U04.CH4.wav,1200.6,1207.8399375,background
S01_U04.CH4.wav,1207.68,1207.9599375,foreground
S01_U04.CH4.wav,1207.8,1208.5599375,background
S01_U04.CH4.wav,1208.4,1208.9599375,foreground
S01_U04.CH4.wav,1208.8,1227.9199375,background
S01_U04.CH4.wav,1227.76,1228.1599375,foreground
S01_U04.CH4.wav,1228,1237.0799375,background
S01_U04.CH4.wav,1236.92,1237.1599375,foreground
S01_U04.CH4.wav,1237,1240.2799375,background
S01_U04.CH4.wav,1240.12,1240.4799375,foreground
S01_U04.CH4.wav,1240.32,1242.7599375,background
S01_U04.CH4.wav,1242.6,1243.0399375,foreground
S01_U04.CH4.wav,1242.88,1243.6399375,background
S01_U04.CH4.wav,1243.48,1243.7999375,foreground
S01_U04.CH4.wav,1243.64,1245.3199375,background
S01_U04.CH4.wav,1245.16,1245.3999375,foreground
S01_U04.CH4.wav,1245.24,1259.1599375,background
S01_U04.CH4.wav,1259,1259.2399375,foreground
S01_U04.CH4.wav,1259.08,1263.9599375,background
S01_U04.CH4.wav,1263.8,1264.1199375,foreground
S01_U04.CH4.wav,1263.96,1283.5199375,background
S01_U04.CH4.wav,1283.36,1283.5599375,foreground
S01_U04.CH4.wav,1283.4,1287.8799375,background
S01_U04.CH4.wav,1287.72,1288.0399375,foreground
S01_U04.CH4.wav,1287.88,1293.1999375,background
S01_U04.CH4.wav,1293.04,1293.2399375,foreground
S01_U04.CH4.wav,1293.08,1311.9599375,background
S01_U04.CH4.wav,1311.8,1312.0799375,foreground
S01_U04.CH4.wav,1311.92,1318.2399375,background
S01_U04.CH4.wav,1318.08,1318.2799375,foreground
S01_U04.CH4.wav,1318.12,1326.7199375,background
S01_U04.CH4.wav,1326.56,1326.8399375,foreground
S01_U04.CH4.wav,1326.68,1327.6399375,background
S01_U04.CH4.wav,1327.48,1327.9199375,foreground
S01_U04.CH4.wav,1327.76,1333.0799375,background
S01_U04.CH4.wav,1332.92,1333.1599375,foreground
S01_U04.CH4.wav,1333,1335.7599375,background
S01_U04.CH4.wav,1335.6,1335.8799375,foreground
S01_U04.CH4.wav,1335.72,1351.9599375,background
S01_U04.CH4.wav,1351.8,1351.9999375,foreground
S01_U04.CH4.wav,1351.84,1354.7199375,background
S01_U04.CH4.wav,1354.56,1354.7999375,foreground
S01_U04.CH4.wav,1354.64,1354.9999375,background
S01_U04.CH4.wav,1354.84,1355.3599375,foreground
S01_U04.CH4.wav,1355.2,1360.7999375,background
S01_U04.CH4.wav,1360.64,1361.1599375,foreground
S01_U04.CH4.wav,1361,1362.8799375,background
S01_U04.CH4.wav,1362.72,1362.9199375,foreground
S01_U04.CH4.wav,1362.76,1363.2799375,background
S01_U04.CH4.wav,1363.12,1363.3599375,foreground
S01_U04.CH4.wav,1363.2,1379.0799375,background
S01_U04.CH4.wav,1378.92,1379.2399375,foreground
S01_U04.CH4.wav,1379.08,1379.5999375,background
S01_U04.CH4.wav,1379.44,1379.6799375,foreground
S01_U04.CH4.wav,1379.52,1379.7199375,background
S01_U04.CH4.wav,1379.56,1380.0799375,foreground
S01_U04.CH4.wav,1379.92,1380.7999375,background
S01_U04.CH4.wav,1380.64,1380.9999375,foreground
S01_U04.CH4.wav,1380.84,1384.0799375,background
S01_U04.CH4.wav,1383.92,1384.1599375,foreground
S01_U04.CH4.wav,1384,1385.9999375,background
S01_U04.CH4.wav,1385.84,1386.0399375,foreground
S01_U04.CH4.wav,1385.88,1388.5999375,background
S01_U04.CH4.wav,1388.44,1388.7599375,foreground
S01_U04.CH4.wav,1388.6,1388.9199375,background
S01_U04.CH4.wav,1388.76,1389.0399375,foreground
S01_U04.CH4.wav,1388.88,1389.8799375,background
S01_U04.CH4.wav,1389.72,1389.9599375,foreground
S01_U04.CH4.wav,1389.8,1392.5599375,background
S01_U04.CH4.wav,1392.4,1392.5999375,foreground
S01_U04.CH4.wav,1392.44,1392.9599375,background
S01_U04.CH4.wav,1392.8,1392.9999375,foreground
S01_U04.CH4.wav,1392.84,1399.5199375,background
S01_U04.CH4.wav,1399.36,1399.7199375,foreground
S01_U04.CH4.wav,1399.56,1400.7999375,background
S01_U04.CH4.wav,1400.64,1400.9999375,foreground
S01_U04.CH4.wav,1400.84,1408.6399375,background
S01_U04.CH4.wav,1408.48,1408.7199375,foreground
S01_U04.CH4.wav,1408.56,1418.1999375,background
S01_U04.CH4.wav,1418.04,1418.2799375,foreground
S01_U04.CH4.wav,1418.12,1418.7999375,background
S01_U04.CH4.wav,1418.64,1419.0799375,foreground
S01_U04.CH4.wav,1418.92,1419.3199375,background
S01_U04.CH4.wav,1419.16,1419.5599375,foreground
S01_U04.CH4.wav,1419.4,1431.6799375,background
S01_U04.CH4.wav,1431.52,1431.7999375,foreground
S01_U04.CH4.wav,1431.64,1437.1999375,background
S01_U04.CH4.wav,1437.04,1437.5199375,foreground
S01_U04.CH4.wav,1437.36,1439.3999375,background
S01_U04.CH4.wav,1439.24,1439.4399375,foreground
S01_U04.CH4.wav,1439.28,1443.1599375,background
S01_U04.CH4.wav,1443,1443.1999375,foreground
S01_U04.CH4.wav,1443.04,1451.6799375,background
S01_U04.CH4.wav,1451.52,1452.0799375,foreground
S01_U04.CH4.wav,1451.92,1453.1999375,background
S01_U04.CH4.wav,1453.04,1453.2799375,foreground
S01_U04.CH4.wav,1453.12,1462.1599375,background
S01_U04.CH4.wav,1462,1462.2799375,foreground
S01_U04.CH4.wav,1462.12,1493.9999375,background
S01_U04.CH4.wav,1493.84,1494.0799375,foreground
S01_U04.CH4.wav,1493.92,1496.6399375,background
S01_U04.CH4.wav,1496.48,1496.8399375,foreground
S01_U04.CH4.wav,1496.68,1497.8799375,background
S01_U04.CH4.wav,1497.72,1497.9999375,foreground
S01_U04.CH4.wav,1497.84,1498.6799375,background
S01_U04.CH4.wav,1498.52,1498.7199375,foreground
S01_U04.CH4.wav,1498.56,1501.7199375,background
S01_U04.CH4.wav,1501.56,1501.8399375,foreground
S01_U04.CH4.wav,1501.68,1505.5599375,background
S01_U04.CH4.wav,1505.4,1505.6799375,foreground
S01_U04.CH4.wav,1505.52,1508.4799375,background
S01_U04.CH4.wav,1508.32,1508.6399375,foreground
S01_U04.CH4.wav,1508.48,1509.1199375,background
S01_U04.CH4.wav,1508.96,1509.3199375,foreground
S01_U04.CH4.wav,1509.16,1515.5999375,background
S01_U04.CH4.wav,1515.44,1515.6799375,foreground
S01_U04.CH4.wav,1515.52,1520.4799375,background
S01_U04.CH4.wav,1520.32,1520.5599375,foreground
S01_U04.CH4.wav,1520.4,1520.5999375,background
S01_U04.CH4.wav,1520.44,1520.7599375,foreground
S01_U04.CH4.wav,1520.6,1523.6799375,background
S01_U04.CH4.wav,1523.52,1523.8799375,foreground
S01_U04.CH4.wav,1523.72,1525.7199375,background
S01_U04.CH4.wav,1525.56,1525.9199375,foreground
S01_U04.CH4.wav,1525.76,1525.9599375,background
S01_U04.CH4.wav,1525.8,1526.0399375,foreground
S01_U04.CH4.wav,1525.88,1531.4799375,background
S01_U04.CH4.wav,1531.32,1531.5199375,foreground
S01_U04.CH4.wav,1531.36,1535.6399375,background
S01_U04.CH4.wav,1535.48,1535.7999375,foreground
S01_U04.CH4.wav,1535.64,1539.6799375,background
S01_U04.CH4.wav,1539.52,1539.7599375,foreground
S01_U04.CH4.wav,1539.6,1541.5999375,background
S01_U04.CH4.wav,1541.44,1541.7599375,foreground
S01_U04.CH4.wav,1541.6,1542.6799375,background
S01_U04.CH4.wav,1542.52,1542.7999375,foreground
S01_U04.CH4.wav,1542.64,1543.9199375,background
S01_U04.CH4.wav,1543.76,1544.1599375,foreground
S01_U04.CH4.wav,1544,1548.7599375,background
S01_U04.CH4.wav,1548.6,1548.7999375,foreground
S01_U04.CH4.wav,1548.64,1556.7599375,background
S01_U04.CH4.wav,1556.6,1556.8799375,foreground
S01_U04.CH4.wav,1556.72,1557.5199375,background
S01_U04.CH4.wav,1557.36,1557.8799375,foreground
S01_U04.CH4.wav,1557.72,1558.1599375,background
S01_U04.CH4.wav,1558,1558.5999375,foreground
S01_U04.CH4.wav,1558.44,1565.8399375,background
S01_U04.CH4.wav,1565.68,1565.9599375,foreground
S01_U04.CH4.wav,1565.8,1568.9999375,background
S01_U04.CH4.wav,1568.84,1569.1999375,foreground
S01_U04.CH4.wav,1569.04,1570.9199375,background
S01_U04.CH4.wav,1570.76,1571.1599375,foreground
S01_U04.CH4.wav,1571,1571.1999375,background
S01_U04.CH4.wav,1571.04,1571.3599375,foreground
S01_U04.CH4.wav,1571.2,1572.7199375,background
S01_U04.CH4.wav,1572.56,1572.7999375,foreground
S01_U04.CH4.wav,1572.64,1578.1999375,background
S01_U04.CH4.wav,1578.04,1578.2799375,foreground
S01_U04.CH4.wav,1578.12,1578.9599375,background
S01_U04.CH4.wav,1578.8,1578.9999375,foreground
S01_U04.CH4.wav,1578.84,1579.0399375,background
S01_U04.CH4.wav,1578.88,1579.0799375,foreground
S01_U04.CH4.wav,1578.92,1579.1999375,background
S01_U04.CH4.wav,1579.04,1579.5999375,foreground
S01_U04.CH4.wav,1579.44,1584.8399375,background
S01_U04.CH4.wav,1584.68,1585.5599375,foreground
S01_U04.CH4.wav,1585.4,1586.2799375,background
S01_U04.CH4.wav,1586.12,1586.3199375,foreground
S01_U04.CH4.wav,1586.16,1587.1599375,background
S01_U04.CH4.wav,1587,1587.1999375,foreground
S01_U04.CH4.wav,1587.04,1587.3599375,background
S01_U04.CH4.wav,1587.2,1587.5199375,foreground
S01_U04.CH4.wav,1587.36,1589.5199375,background
S01_U04.CH4.wav,1589.36,1589.5599375,foreground
S01_U04.CH4.wav,1589.4,1592.5599375,background
S01_U04.CH4.wav,1592.4,1592.6399375,foreground
S01_U04.CH4.wav,1592.48,1594.4399375,background
S01_U04.CH4.wav,1594.28,1594.5599375,foreground
S01_U04.CH4.wav,1594.4,1616.8799375,background
S01_U04.CH4.wav,1616.72,1616.9199375,foreground
S01_U04.CH4.wav,1616.76,1619.0799375,background
S01_U04.CH4.wav,1618.92,1619.1199375,foreground
S01_U04.CH4.wav,1618.96,1624.3999375,background
